id,category,question,option_a,option_b,option_c,option_d,answer_index,points,difficulty
Q01358,Malloum,Niveau quiz : Quel rôle joue l'IA générative dans Malloum ?,Générer des réponses pédagogiques contextualisées,Piloter un drone uniquement,Scanner des documents papier,Augmenter la mémoire RAM,0,10,difficile
Q01359,Malloum,Niveau quiz : Quel public peut bénéficier de Malloum ?,Des apprenants,Des mécaniciens uniquement,Des pilotes uniquement,Des pêcheurs uniquement,0,10,difficile
Q01360,Malloum,Niveau quiz : Quel avantage du SMS est exploité par Malloum ?,Une grande disponibilité sur les téléphones mobiles basiques,La vidéo haute définition,Le téléchargement de jeux lourds,La réalité virtuelle,0,10,difficile
Q01361,Malloum,Niveau quiz : Malloum a été associé à quel type de recherche ?,Éducation et ingénierie,Mécanique automobile,Architecture des bâtiments,Chimie industrielle,0,10,difficile
Q01362,Malloum,Niveau quiz : Quel prix scientifique a été associé à l'article sur Malloum ?,Best Paper Award,Prix Nobel,Ballon d'Or,Prix Goncourt,0,10,difficile
Q01363,Malloum,Niveau quiz : Dans quel contexte éducatif Malloum est-il présenté ?,Apprentissage contextualisé,Jeux d'argent,Commerce international,Transport urbain,0,10,difficile
Q01364,Malloum,Niveau quiz : Quel est l'intérêt d'un tuteur par SMS ?,Permettre des échanges éducatifs avec peu de données,Obliger l'utilisateur à installer un GPU,Nécessiter une fibre optique,Bloquer les téléphones basiques,0,10,difficile
Q01365,Malloum,Niveau quiz : Malloum vise une IA…,Accessible et inclusive,Réservée aux data centers,Sans interaction,Exclusivement hors ligne sans réseau GSM,0,10,difficile
Q01366,Malloum,Niveau quiz : Quel type de question un apprenant peut-il poser ?,Une question pédagogique,Une commande de drone militaire,Une commande bancaire obligatoire,Une réservation aérienne obligatoire,0,10,difficile
Q01367,Malloum,Niveau quiz : Quelle contrainte doit être prise en compte avec les SMS ?,La longueur limitée des messages,La résolution d'écran 8K,La mémoire GPU,Le débit HDMI,0,10,difficile
Q01368,Malloum,Niveau quiz : Quel principe de conception est cohérent avec Malloum ?,Contextualiser la réponse pour l'apprenant,Envoyer systématiquement des réponses longues,Ignorer le niveau de l'utilisateur,Exiger une connexion fibre,0,10,difficile
Q01369,Malloum,Niveau quiz : Quel est le rôle du GSM dans une solution SMS ?,Transporter les messages mobiles,Exécuter le modèle IA,Remplacer la base de données,Créer l'interface graphique,0,10,difficile
Q01370,Malloum,Niveau quiz : Malloum peut contribuer à…,L'inclusion éducative,La réparation de voitures,La fabrication de processeurs,La production d'électricité,0,10,difficile
Q01371,Malloum,Niveau quiz : Quel type de contenu est généré ?,Contenu pédagogique,Plans de bâtiments uniquement,Musique uniquement,Images médicales uniquement,0,10,difficile
Q01372,Malloum,Niveau quiz : Pourquoi une solution SMS peut-elle être pertinente au Cameroun ?,Le mobile est accessible dans des zones où Internet est limité,Le SMS exige la fibre,Le SMS ne fonctionne qu'en laboratoire,Les smartphones sont obligatoires,0,10,difficile
Q01373,Malloum,Niveau quiz : Malloum illustre quelle approche ?,IA adaptée aux contraintes locales,Technologie sans utilisateur,IA uniquement pour les grandes villes,Système sans données,0,10,difficile
Q01374,Malloum,Niveau quiz : Quel objectif est le plus cohérent avec Malloum ?,Faciliter l'accès à l'apprentissage,Automatiser les feux rouges,Gérer des stocks de pétrole,Faire du montage vidéo,0,10,difficile
Q01375,Malloum,Niveau quiz : Quel terme décrit le mieux Malloum ?,Tuteur IA par SMS,Moteur de jeu 3D,Système de comptabilité,Serveur de fichiers,0,10,difficile
Q01376,Malloum,Question suivante : Quel est le principe de Malloum ?,Un tuteur éducatif génératif accessible par SMS,Une application de météo uniquement,Un jeu de course,Un antivirus,0,10,difficile
Q01377,Malloum,Question suivante : Quel canal rend Malloum accessible sans smartphone moderne ?,SMS,Bluetooth uniquement,NFC uniquement,HDMI,0,10,difficile
Q01378,Malloum,Question suivante : Quel type d'IA est associé à Malloum ?,IA générative,IA uniquement matérielle,IA analogique,IA sans modèle,0,10,difficile
Q01379,Malloum,Question suivante : Quel problème Malloum cherche-t-il à réduire ?,Les limites de connectivité pour l'accès à l'apprentissage,Le manque de voitures,La consommation d'électricité des ménages,La billetterie,0,10,difficile
Q01380,Malloum,Question suivante : Quel type de système éducatif est Malloum ?,Tuteur intelligent,Système de caisse,ERP agricole,Réseau social,0,10,difficile
Q01381,Malloum,Question suivante : Malloum est particulièrement adapté aux environnements…,À faible connectivité,Sans utilisateurs,Uniquement hors Afrique,Avec fibre obligatoire,0,10,difficile
Q01382,Malloum,Question suivante : Quel format de réponse est important pour un service SMS ?,Une réponse concise et adaptée au canal,Une vidéo 4K,Un fichier CAD,Une animation 3D,0,10,difficile
Q01383,Malloum,Question suivante : Quel rôle joue l'IA générative dans Malloum ?,Générer des réponses pédagogiques contextualisées,Piloter un drone uniquement,Scanner des documents papier,Augmenter la mémoire RAM,0,10,difficile
Q01384,Malloum,Question suivante : Quel public peut bénéficier de Malloum ?,Des apprenants,Des mécaniciens uniquement,Des pilotes uniquement,Des pêcheurs uniquement,0,10,difficile
Q01385,Malloum,Question suivante : Quel avantage du SMS est exploité par Malloum ?,Une grande disponibilité sur les téléphones mobiles basiques,La vidéo haute définition,Le téléchargement de jeux lourds,La réalité virtuelle,0,10,difficile
Q01386,Malloum,Question suivante : Malloum a été associé à quel type de recherche ?,Éducation et ingénierie,Mécanique automobile,Architecture des bâtiments,Chimie industrielle,0,10,difficile
Q01387,Malloum,Question suivante : Quel prix scientifique a été associé à l'article sur Malloum ?,Best Paper Award,Prix Nobel,Ballon d'Or,Prix Goncourt,0,10,difficile
Q01388,Malloum,Question suivante : Dans quel contexte éducatif Malloum est-il présenté ?,Apprentissage contextualisé,Jeux d'argent,Commerce international,Transport urbain,0,10,difficile
Q01389,Malloum,Question suivante : Quel est l'intérêt d'un tuteur par SMS ?,Permettre des échanges éducatifs avec peu de données,Obliger l'utilisateur à installer un GPU,Nécessiter une fibre optique,Bloquer les téléphones basiques,0,10,difficile
Q01390,Malloum,Question suivante : Malloum vise une IA…,Accessible et inclusive,Réservée aux data centers,Sans interaction,Exclusivement hors ligne sans réseau GSM,0,10,difficile
Q01391,Malloum,Question suivante : Quel type de question un apprenant peut-il poser ?,Une question pédagogique,Une commande de drone militaire,Une commande bancaire obligatoire,Une réservation aérienne obligatoire,0,10,difficile
Q01392,Malloum,Question suivante : Quelle contrainte doit être prise en compte avec les SMS ?,La longueur limitée des messages,La résolution d'écran 8K,La mémoire GPU,Le débit HDMI,0,10,difficile
Q01393,Malloum,Question suivante : Quel principe de conception est cohérent avec Malloum ?,Contextualiser la réponse pour l'apprenant,Envoyer systématiquement des réponses longues,Ignorer le niveau de l'utilisateur,Exiger une connexion fibre,0,10,difficile
Q01394,Malloum,Question suivante : Quel est le rôle du GSM dans une solution SMS ?,Transporter les messages mobiles,Exécuter le modèle IA,Remplacer la base de données,Créer l'interface graphique,0,10,difficile
Q01395,Malloum,Question suivante : Malloum peut contribuer à…,L'inclusion éducative,La réparation de voitures,La fabrication de processeurs,La production d'électricité,0,10,difficile
Q01396,Malloum,Question suivante : Quel type de contenu est généré ?,Contenu pédagogique,Plans de bâtiments uniquement,Musique uniquement,Images médicales uniquement,0,10,difficile
Q01397,Malloum,Question suivante : Pourquoi une solution SMS peut-elle être pertinente au Cameroun ?,Le mobile est accessible dans des zones où Internet est limité,Le SMS exige la fibre,Le SMS ne fonctionne qu'en laboratoire,Les smartphones sont obligatoires,0,10,difficile
Q01398,Malloum,Question suivante : Malloum illustre quelle approche ?,IA adaptée aux contraintes locales,Technologie sans utilisateur,IA uniquement pour les grandes villes,Système sans données,0,10,difficile
Q01399,Malloum,Question suivante : Quel objectif est le plus cohérent avec Malloum ?,Faciliter l'accès à l'apprentissage,Automatiser les feux rouges,Gérer des stocks de pétrole,Faire du montage vidéo,0,10,difficile
Q01400,Malloum,Question suivante : Quel terme décrit le mieux Malloum ?,Tuteur IA par SMS,Moteur de jeu 3D,Système de comptabilité,Serveur de fichiers,0,10,difficile
Q01401,Malloum,Challenge visiteurs : Quel est le principe de Malloum ?,Un tuteur éducatif génératif accessible par SMS,Une application de météo uniquement,Un jeu de course,Un antivirus,0,10,difficile
Q01402,Malloum,Challenge visiteurs : Quel canal rend Malloum accessible sans smartphone moderne ?,SMS,Bluetooth uniquement,NFC uniquement,HDMI,0,10,difficile
Q01403,Malloum,Challenge visiteurs : Quel type d'IA est associé à Malloum ?,IA générative,IA uniquement matérielle,IA analogique,IA sans modèle,0,10,difficile
Q01404,Malloum,Challenge visiteurs : Quel problème Malloum cherche-t-il à réduire ?,Les limites de connectivité pour l'accès à l'apprentissage,Le manque de voitures,La consommation d'électricité des ménages,La billetterie,0,10,difficile
Q01405,Malloum,Challenge visiteurs : Quel type de système éducatif est Malloum ?,Tuteur intelligent,Système de caisse,ERP agricole,Réseau social,0,10,difficile
Q01406,Malloum,Challenge visiteurs : Malloum est particulièrement adapté aux environnements…,À faible connectivité,Sans utilisateurs,Uniquement hors Afrique,Avec fibre obligatoire,0,10,difficile
Q01407,Malloum,Challenge visiteurs : Quel format de réponse est important pour un service SMS ?,Une réponse concise et adaptée au canal,Une vidéo 4K,Un fichier CAD,Une animation 3D,0,10,difficile
Q01408,Malloum,Challenge visiteurs : Quel rôle joue l'IA générative dans Malloum ?,Générer des réponses pédagogiques contextualisées,Piloter un drone uniquement,Scanner des documents papier,Augmenter la mémoire RAM,0,10,difficile
Q01409,Malloum,Challenge visiteurs : Quel public peut bénéficier de Malloum ?,Des apprenants,Des mécaniciens uniquement,Des pilotes uniquement,Des pêcheurs uniquement,0,10,difficile
Q01410,Malloum,Challenge visiteurs : Quel avantage du SMS est exploité par Malloum ?,Une grande disponibilité sur les téléphones mobiles basiques,La vidéo haute définition,Le téléchargement de jeux lourds,La réalité virtuelle,0,10,difficile
Q01411,Malloum,Challenge visiteurs : Malloum a été associé à quel type de recherche ?,Éducation et ingénierie,Mécanique automobile,Architecture des bâtiments,Chimie industrielle,0,10,difficile
Q01412,Malloum,Challenge visiteurs : Quel prix scientifique a été associé à l'article sur Malloum ?,Best Paper Award,Prix Nobel,Ballon d'Or,Prix Goncourt,0,10,difficile
Q01413,Malloum,Challenge visiteurs : Dans quel contexte éducatif Malloum est-il présenté ?,Apprentissage contextualisé,Jeux d'argent,Commerce international,Transport urbain,0,10,difficile
Q01414,Malloum,Challenge visiteurs : Quel est l'intérêt d'un tuteur par SMS ?,Permettre des échanges éducatifs avec peu de données,Obliger l'utilisateur à installer un GPU,Nécessiter une fibre optique,Bloquer les téléphones basiques,0,10,difficile
Q01415,Malloum,Challenge visiteurs : Malloum vise une IA…,Accessible et inclusive,Réservée aux data centers,Sans interaction,Exclusivement hors ligne sans réseau GSM,0,10,difficile
Q01416,Malloum,Challenge visiteurs : Quel type de question un apprenant peut-il poser ?,Une question pédagogique,Une commande de drone militaire,Une commande bancaire obligatoire,Une réservation aérienne obligatoire,0,10,difficile
Q01417,Malloum,Challenge visiteurs : Quelle contrainte doit être prise en compte avec les SMS ?,La longueur limitée des messages,La résolution d'écran 8K,La mémoire GPU,Le débit HDMI,0,10,difficile
Q01418,Malloum,Challenge visiteurs : Quel principe de conception est cohérent avec Malloum ?,Contextualiser la réponse pour l'apprenant,Envoyer systématiquement des réponses longues,Ignorer le niveau de l'utilisateur,Exiger une connexion fibre,0,10,difficile
Q01419,Malloum,Challenge visiteurs : Quel est le rôle du GSM dans une solution SMS ?,Transporter les messages mobiles,Exécuter le modèle IA,Remplacer la base de données,Créer l'interface graphique,0,10,difficile
Q01420,Malloum,Challenge visiteurs : Malloum peut contribuer à…,L'inclusion éducative,La réparation de voitures,La fabrication de processeurs,La production d'électricité,0,10,difficile
Q01421,Malloum,Challenge visiteurs : Quel type de contenu est généré ?,Contenu pédagogique,Plans de bâtiments uniquement,Musique uniquement,Images médicales uniquement,0,10,difficile
Q01422,Malloum,Challenge visiteurs : Pourquoi une solution SMS peut-elle être pertinente au Cameroun ?,Le mobile est accessible dans des zones où Internet est limité,Le SMS exige la fibre,Le SMS ne fonctionne qu'en laboratoire,Les smartphones sont obligatoires,0,10,difficile
Q01423,Malloum,Challenge visiteurs : Malloum illustre quelle approche ?,IA adaptée aux contraintes locales,Technologie sans utilisateur,IA uniquement pour les grandes villes,Système sans données,0,10,difficile
Q01424,Malloum,Challenge visiteurs : Quel objectif est le plus cohérent avec Malloum ?,Faciliter l'accès à l'apprentissage,Automatiser les feux rouges,Gérer des stocks de pétrole,Faire du montage vidéo,0,10,difficile
Q01425,Malloum,Challenge visiteurs : Quel terme décrit le mieux Malloum ?,Tuteur IA par SMS,Moteur de jeu 3D,Système de comptabilité,Serveur de fichiers,0,10,difficile
Q01426,Malloum,Mode compétition : Quel est le principe de Malloum ?,Un tuteur éducatif génératif accessible par SMS,Une application de météo uniquement,Un jeu de course,Un antivirus,0,10,difficile
Q01427,Malloum,Mode compétition : Quel canal rend Malloum accessible sans smartphone moderne ?,SMS,Bluetooth uniquement,NFC uniquement,HDMI,0,10,difficile
Q01428,Malloum,Mode compétition : Quel type d'IA est associé à Malloum ?,IA générative,IA uniquement matérielle,IA analogique,IA sans modèle,0,10,difficile
Q01429,Malloum,Mode compétition : Quel problème Malloum cherche-t-il à réduire ?,Les limites de connectivité pour l'accès à l'apprentissage,Le manque de voitures,La consommation d'électricité des ménages,La billetterie,0,10,difficile
Q01430,Malloum,Mode compétition : Quel type de système éducatif est Malloum ?,Tuteur intelligent,Système de caisse,ERP agricole,Réseau social,0,10,difficile
Q01431,Malloum,Mode compétition : Malloum est particulièrement adapté aux environnements…,À faible connectivité,Sans utilisateurs,Uniquement hors Afrique,Avec fibre obligatoire,0,10,difficile
Q01432,Malloum,Mode compétition : Quel format de réponse est important pour un service SMS ?,Une réponse concise et adaptée au canal,Une vidéo 4K,Un fichier CAD,Une animation 3D,0,10,difficile
Q01433,Malloum,Mode compétition : Quel rôle joue l'IA générative dans Malloum ?,Générer des réponses pédagogiques contextualisées,Piloter un drone uniquement,Scanner des documents papier,Augmenter la mémoire RAM,0,10,difficile
Q01434,Malloum,Mode compétition : Quel public peut bénéficier de Malloum ?,Des apprenants,Des mécaniciens uniquement,Des pilotes uniquement,Des pêcheurs uniquement,0,10,difficile
Q01435,Malloum,Mode compétition : Quel avantage du SMS est exploité par Malloum ?,Une grande disponibilité sur les téléphones mobiles basiques,La vidéo haute définition,Le téléchargement de jeux lourds,La réalité virtuelle,0,10,difficile
Q01436,Malloum,Mode compétition : Malloum a été associé à quel type de recherche ?,Éducation et ingénierie,Mécanique automobile,Architecture des bâtiments,Chimie industrielle,0,10,difficile
Q01437,Malloum,Mode compétition : Quel prix scientifique a été associé à l'article sur Malloum ?,Best Paper Award,Prix Nobel,Ballon d'Or,Prix Goncourt,0,10,difficile
Q01438,Malloum,Mode compétition : Dans quel contexte éducatif Malloum est-il présenté ?,Apprentissage contextualisé,Jeux d'argent,Commerce international,Transport urbain,0,10,difficile
Q01439,Malloum,Mode compétition : Quel est l'intérêt d'un tuteur par SMS ?,Permettre des échanges éducatifs avec peu de données,Obliger l'utilisateur à installer un GPU,Nécessiter une fibre optique,Bloquer les téléphones basiques,0,10,difficile
Q01440,Malloum,Mode compétition : Malloum vise une IA…,Accessible et inclusive,Réservée aux data centers,Sans interaction,Exclusivement hors ligne sans réseau GSM,0,10,difficile
Q01441,Malloum,Mode compétition : Quel type de question un apprenant peut-il poser ?,Une question pédagogique,Une commande de drone militaire,Une commande bancaire obligatoire,Une réservation aérienne obligatoire,0,10,difficile
Q01442,Malloum,Mode compétition : Quelle contrainte doit être prise en compte avec les SMS ?,La longueur limitée des messages,La résolution d'écran 8K,La mémoire GPU,Le débit HDMI,0,10,difficile
Q01443,Malloum,Mode compétition : Quel principe de conception est cohérent avec Malloum ?,Contextualiser la réponse pour l'apprenant,Envoyer systématiquement des réponses longues,Ignorer le niveau de l'utilisateur,Exiger une connexion fibre,0,10,difficile
Q01444,Malloum,Mode compétition : Quel est le rôle du GSM dans une solution SMS ?,Transporter les messages mobiles,Exécuter le modèle IA,Remplacer la base de données,Créer l'interface graphique,0,10,difficile
Q01445,Malloum,Mode compétition : Malloum peut contribuer à…,L'inclusion éducative,La réparation de voitures,La fabrication de processeurs,La production d'électricité,0,10,difficile
Q01446,Malloum,Mode compétition : Quel type de contenu est généré ?,Contenu pédagogique,Plans de bâtiments uniquement,Musique uniquement,Images médicales uniquement,0,10,difficile
Q01447,Malloum,Mode compétition : Pourquoi une solution SMS peut-elle être pertinente au Cameroun ?,Le mobile est accessible dans des zones où Internet est limité,Le SMS exige la fibre,Le SMS ne fonctionne qu'en laboratoire,Les smartphones sont obligatoires,0,10,difficile
Q01448,Malloum,Mode compétition : Malloum illustre quelle approche ?,IA adaptée aux contraintes locales,Technologie sans utilisateur,IA uniquement pour les grandes villes,Système sans données,0,10,difficile
Q01449,Malloum,Mode compétition : Quel objectif est le plus cohérent avec Malloum ?,Faciliter l'accès à l'apprentissage,Automatiser les feux rouges,Gérer des stocks de pétrole,Faire du montage vidéo,0,10,difficile
Q01450,Malloum,Mode compétition : Quel terme décrit le mieux Malloum ?,Tuteur IA par SMS,Moteur de jeu 3D,Système de comptabilité,Serveur de fichiers,0,10,difficile
Q01451,Malloum,Question expert : Quel est le principe de Malloum ?,Un tuteur éducatif génératif accessible par SMS,Une application de météo uniquement,Un jeu de course,Un antivirus,0,10,difficile
Q01452,Malloum,Question expert : Quel canal rend Malloum accessible sans smartphone moderne ?,SMS,Bluetooth uniquement,NFC uniquement,HDMI,0,10,difficile
Q01453,Malloum,Question expert : Quel type d'IA est associé à Malloum ?,IA générative,IA uniquement matérielle,IA analogique,IA sans modèle,0,10,difficile
Q01454,Malloum,Question expert : Quel problème Malloum cherche-t-il à réduire ?,Les limites de connectivité pour l'accès à l'apprentissage,Le manque de voitures,La consommation d'électricité des ménages,La billetterie,0,10,difficile
Q01455,Malloum,Question expert : Quel type de système éducatif est Malloum ?,Tuteur intelligent,Système de caisse,ERP agricole,Réseau social,0,10,difficile
Q01456,Malloum,Question expert : Malloum est particulièrement adapté aux environnements…,À faible connectivité,Sans utilisateurs,Uniquement hors Afrique,Avec fibre obligatoire,0,10,difficile
Q01457,Malloum,Question expert : Quel format de réponse est important pour un service SMS ?,Une réponse concise et adaptée au canal,Une vidéo 4K,Un fichier CAD,Une animation 3D,0,10,difficile
Q01458,Malloum,Question expert : Quel rôle joue l'IA générative dans Malloum ?,Générer des réponses pédagogiques contextualisées,Piloter un drone uniquement,Scanner des documents papier,Augmenter la mémoire RAM,0,10,difficile
Q01459,Malloum,Question expert : Quel public peut bénéficier de Malloum ?,Des apprenants,Des mécaniciens uniquement,Des pilotes uniquement,Des pêcheurs uniquement,0,10,difficile
Q01460,Malloum,Question expert : Quel avantage du SMS est exploité par Malloum ?,Une grande disponibilité sur les téléphones mobiles basiques,La vidéo haute définition,Le téléchargement de jeux lourds,La réalité virtuelle,0,10,difficile
Q01461,Malloum,Question expert : Malloum a été associé à quel type de recherche ?,Éducation et ingénierie,Mécanique automobile,Architecture des bâtiments,Chimie industrielle,0,10,difficile
Q01462,Malloum,Question expert : Quel prix scientifique a été associé à l'article sur Malloum ?,Best Paper Award,Prix Nobel,Ballon d'Or,Prix Goncourt,0,10,difficile
Q01463,Malloum,Question expert : Dans quel contexte éducatif Malloum est-il présenté ?,Apprentissage contextualisé,Jeux d'argent,Commerce international,Transport urbain,0,10,difficile
Q01464,Malloum,Question expert : Quel est l'intérêt d'un tuteur par SMS ?,Permettre des échanges éducatifs avec peu de données,Obliger l'utilisateur à installer un GPU,Nécessiter une fibre optique,Bloquer les téléphones basiques,0,10,difficile
Q01465,Malloum,Question expert : Malloum vise une IA…,Accessible et inclusive,Réservée aux data centers,Sans interaction,Exclusivement hors ligne sans réseau GSM,0,10,difficile
Q01466,Malloum,Question expert : Quel type de question un apprenant peut-il poser ?,Une question pédagogique,Une commande de drone militaire,Une commande bancaire obligatoire,Une réservation aérienne obligatoire,0,10,difficile
Q01467,Malloum,Question expert : Quelle contrainte doit être prise en compte avec les SMS ?,La longueur limitée des messages,La résolution d'écran 8K,La mémoire GPU,Le débit HDMI,0,10,difficile
Q01468,Malloum,Question expert : Quel principe de conception est cohérent avec Malloum ?,Contextualiser la réponse pour l'apprenant,Envoyer systématiquement des réponses longues,Ignorer le niveau de l'utilisateur,Exiger une connexion fibre,0,10,difficile
Q01469,Malloum,Question expert : Quel est le rôle du GSM dans une solution SMS ?,Transporter les messages mobiles,Exécuter le modèle IA,Remplacer la base de données,Créer l'interface graphique,0,10,difficile
Q01470,Malloum,Question expert : Malloum peut contribuer à…,L'inclusion éducative,La réparation de voitures,La fabrication de processeurs,La production d'électricité,0,10,difficile
Q01471,Malloum,Question expert : Quel type de contenu est généré ?,Contenu pédagogique,Plans de bâtiments uniquement,Musique uniquement,Images médicales uniquement,0,10,difficile
Q01472,Malloum,Question expert : Pourquoi une solution SMS peut-elle être pertinente au Cameroun ?,Le mobile est accessible dans des zones où Internet est limité,Le SMS exige la fibre,Le SMS ne fonctionne qu'en laboratoire,Les smartphones sont obligatoires,0,10,difficile
Q01473,Malloum,Question expert : Malloum illustre quelle approche ?,IA adaptée aux contraintes locales,Technologie sans utilisateur,IA uniquement pour les grandes villes,Système sans données,0,10,difficile
Q01474,Malloum,Question expert : Quel objectif est le plus cohérent avec Malloum ?,Faciliter l'accès à l'apprentissage,Automatiser les feux rouges,Gérer des stocks de pétrole,Faire du montage vidéo,0,10,difficile
Q01475,Malloum,Question expert : Quel terme décrit le mieux Malloum ?,Tuteur IA par SMS,Moteur de jeu 3D,Système de comptabilité,Serveur de fichiers,0,10,difficile
Q01476,Malloum,Dernier défi : Quel est le principe de Malloum ?,Un tuteur éducatif génératif accessible par SMS,Une application de météo uniquement,Un jeu de course,Un antivirus,0,10,difficile
Q01477,Malloum,Dernier défi : Quel canal rend Malloum accessible sans smartphone moderne ?,SMS,Bluetooth uniquement,NFC uniquement,HDMI,0,10,difficile
Q01478,Malloum,Dernier défi : Quel type d'IA est associé à Malloum ?,IA générative,IA uniquement matérielle,IA analogique,IA sans modèle,0,10,difficile
Q01479,Malloum,Dernier défi : Quel problème Malloum cherche-t-il à réduire ?,Les limites de connectivité pour l'accès à l'apprentissage,Le manque de voitures,La consommation d'électricité des ménages,La billetterie,0,10,difficile
Q01480,Malloum,Dernier défi : Quel type de système éducatif est Malloum ?,Tuteur intelligent,Système de caisse,ERP agricole,Réseau social,0,10,difficile
Q01481,Malloum,Dernier défi : Malloum est particulièrement adapté aux environnements…,À faible connectivité,Sans utilisateurs,Uniquement hors Afrique,Avec fibre obligatoire,0,10,difficile
Q01482,Malloum,Dernier défi : Quel format de réponse est important pour un service SMS ?,Une réponse concise et adaptée au canal,Une vidéo 4K,Un fichier CAD,Une animation 3D,0,10,difficile
Q01483,Malloum,Dernier défi : Quel rôle joue l'IA générative dans Malloum ?,Générer des réponses pédagogiques contextualisées,Piloter un drone uniquement,Scanner des documents papier,Augmenter la mémoire RAM,0,10,difficile
Q01484,Malloum,Dernier défi : Quel public peut bénéficier de Malloum ?,Des apprenants,Des mécaniciens uniquement,Des pilotes uniquement,Des pêcheurs uniquement,0,10,difficile
Q01485,Malloum,Dernier défi : Quel avantage du SMS est exploité par Malloum ?,Une grande disponibilité sur les téléphones mobiles basiques,La vidéo haute définition,Le téléchargement de jeux lourds,La réalité virtuelle,0,10,difficile
Q01486,Malloum,Dernier défi : Malloum a été associé à quel type de recherche ?,Éducation et ingénierie,Mécanique automobile,Architecture des bâtiments,Chimie industrielle,0,10,difficile
Q01487,Malloum,Dernier défi : Quel prix scientifique a été associé à l'article sur Malloum ?,Best Paper Award,Prix Nobel,Ballon d'Or,Prix Goncourt,0,10,difficile
Q01488,Malloum,Dernier défi : Dans quel contexte éducatif Malloum est-il présenté ?,Apprentissage contextualisé,Jeux d'argent,Commerce international,Transport urbain,0,10,difficile
Q01489,Malloum,Dernier défi : Quel est l'intérêt d'un tuteur par SMS ?,Permettre des échanges éducatifs avec peu de données,Obliger l'utilisateur à installer un GPU,Nécessiter une fibre optique,Bloquer les téléphones basiques,0,10,difficile
Q01490,Malloum,Dernier défi : Malloum vise une IA…,Accessible et inclusive,Réservée aux data centers,Sans interaction,Exclusivement hors ligne sans réseau GSM,0,10,difficile
Q01491,Malloum,Dernier défi : Quel type de question un apprenant peut-il poser ?,Une question pédagogique,Une commande de drone militaire,Une commande bancaire obligatoire,Une réservation aérienne obligatoire,0,10,difficile
Q01492,Malloum,Dernier défi : Quelle contrainte doit être prise en compte avec les SMS ?,La longueur limitée des messages,La résolution d'écran 8K,La mémoire GPU,Le débit HDMI,0,10,difficile
Q01493,Malloum,Dernier défi : Quel principe de conception est cohérent avec Malloum ?,Contextualiser la réponse pour l'apprenant,Envoyer systématiquement des réponses longues,Ignorer le niveau de l'utilisateur,Exiger une connexion fibre,0,10,difficile
Q01494,Malloum,Dernier défi : Quel est le rôle du GSM dans une solution SMS ?,Transporter les messages mobiles,Exécuter le modèle IA,Remplacer la base de données,Créer l'interface graphique,0,10,difficile
Q01495,Malloum,Dernier défi : Malloum peut contribuer à…,L'inclusion éducative,La réparation de voitures,La fabrication de processeurs,La production d'électricité,0,10,difficile
Q01496,Malloum,Dernier défi : Quel type de contenu est généré ?,Contenu pédagogique,Plans de bâtiments uniquement,Musique uniquement,Images médicales uniquement,0,10,difficile
Q01497,Malloum,Dernier défi : Pourquoi une solution SMS peut-elle être pertinente au Cameroun ?,Le mobile est accessible dans des zones où Internet est limité,Le SMS exige la fibre,Le SMS ne fonctionne qu'en laboratoire,Les smartphones sont obligatoires,0,10,difficile
Q01498,Malloum,Dernier défi : Malloum illustre quelle approche ?,IA adaptée aux contraintes locales,Technologie sans utilisateur,IA uniquement pour les grandes villes,Système sans données,0,10,difficile
Q01499,Malloum,Dernier défi : Quel objectif est le plus cohérent avec Malloum ?,Faciliter l'accès à l'apprentissage,Automatiser les feux rouges,Gérer des stocks de pétrole,Faire du montage vidéo,0,10,difficile
Q01500,Malloum,Dernier défi : Quel terme décrit le mieux Malloum ?,Tuteur IA par SMS,Moteur de jeu 3D,Système de comptabilité,Serveur de fichiers,0,10,difficile
Q01501,Intelligence artificielle,Que signifie IA ?,Intelligence artificielle,Internet automatique,Interface analytique,Installation avancée,0,10,facile
Q01502,Intelligence artificielle,Quel domaine permet à une machine d'apprendre à partir de données ?,Machine Learning,Word processing,DNS,Compression,0,10,facile
Q01503,Intelligence artificielle,Quel algorithme est souvent utilisé pour la classification ?,Random Forest,FTP,HTML,SMTP,0,10,facile
Q01504,Intelligence artificielle,Quel type d'apprentissage utilise des données étiquetées ?,Apprentissage supervisé,Apprentissage non supervisé,Apprentissage sans données,Apprentissage analogique,0,10,facile
Q01505,Intelligence artificielle,Quel modèle est adapté à la génération de texte ?,Un grand modèle de langage,Un câble réseau,Un compilateur C,Un disque dur,0,10,facile
Q01506,Intelligence artificielle,Que signifie LLM ?,Large Language Model,Local Logic Machine,Linear Learning Module,Low Level Memory,0,10,facile
Q01507,Intelligence artificielle,Quel problème est typique d'un modèle qui mémorise trop les données d'entraînement ?,Surapprentissage,Sous-échantillonnage,Compression,Routage,0,10,facile
Q01508,Intelligence artificielle,Quel jeu de données sert à évaluer un modèle après entraînement ?,Test set,Source code,DNS table,BIOS,0,10,facile
Q01509,Intelligence artificielle,Pourquoi normaliser certaines données ?,Faciliter l'apprentissage de certains modèles,Augmenter la taille du disque,Créer un réseau Wi-Fi,Installer un navigateur,0,10,facile
Q01510,Intelligence artificielle,Quel algorithme est un classifieur à marge ?,SVM,FTP,JSON,HTTP,0,10,facile
Q01511,Intelligence artificielle,Quel algorithme est basé sur les voisins ?,KNN,CNN uniquement,DNS,SSH,0,10,facile
